Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0003632_abnormal_nervous_system_	313/1867	0.000000000000000000000000022273033338496949229992137666050252064293057662310070541082369028064685649581644355521348188631236553192138671875	0.0000000000000000000000015591123336947865321952272847402784820544596336941520437350595408576570122249904670752584934234619140625	0.000000000000000000000000000000000001455197318403144439351368843027187050441861574330386109294345888626284280408026752381797882846155289815470723624457605183124542236328125	0.00000000000000000000000000000000010186381228822010875002228644275635892552795983951561853920655212505337615710875354642687105888310128420926048420369625091552734375	-1.2046514726681243	66.03649478989381	PRRXL1;OXTR;GFI1;GLDN;NDST1;SOX3;EDNRA;DPYSL4;PROK2;SOX9;EPHB2;SYNPO;EPHB1;SCN1B;MNX1;UNC5A;EPHA8;CACNA2D2;EBF2;SOX11;UNC5C;EBF3;HSPG2;DKK1;MAPK8IP1;OVOL2;BCAN;SFRP1;SFRP2;RFX4;PARD3;KCNQ4;HOXB3;ASTN1;UGT8A;CTBP2;PCDH10;FOXG1;ARX;HPN;TWIST1;GATA4;MIR212;PRDM16;NKX2-1;APOE;TRPM6;JAG2;FZD1;EGR3;ICMT;CADM1;ST8SIA2;MTHFR;GDF6;GRIN2C;GRIN2B;GDF7;CYP26A1;GRIN3A;GJB6;ID4;PPT2;FAT4;VSX1;VSX2;GABRB3;BARHL1;HRK;MESP1;HMX3;LPCAT1;GRIK4;PCSK5;GLI3;GLI2;MED12;AIFM1;DNER;KIF1B;NEFM;FEZF2;TEAD1;TEAD2;SLC18A3;FOXD3;FOXD1;SPHK1;NOG;ITPK1;EN2;PAX3;SORCS1;PAX6;GFRA2;UCHL5;RGMA;PAX1;BACE1;COL2A1;KCNMA1;CLDN19;RARA;GAS1;HAP1;DSCAML1;MDFI;HMX2;HMX1;FOXC2;GUCY2E;SEZ6;HOXD12;ADCY1;HOXD11;HOXD10;GLRA1;PROKR2;RELN;RXRA;EGFLAM;GBX2;CHN2;NTF3;LMNA;SLC17A6;FLNB;CKB;GSX1;CDKN2A;GABRA5;GDF15;SLC31A1;USP9X;GAD1;ECEL1;KLHL1;NR1H3;UNCX;VAX1;LBX1;SULF1;GRHL2;POU4F2;POU4F3;SKI;KRT19;NFIB;DLC1;F2RL1;PTF1A;MIXL1;NEUROG2;CRLF1;IHH;CELSR3;FGF3;FOXQ1;FGF8;SALL2;BMPER;PITX2;SBF2;PITX1;CCDC160;SEMA6B;CARD10;CADPS2;SEMA6A;NKX6-2;SLC30A3;MSX2;WNT5A;MAGI2;LMO2;CTNNBIP1;TRP73;ATP1B2;POU3F1;POU3F2;HIC1;POU3F3;PYGO1;TOM1L2;CACNB4;COL4A2;LMX1A;SCN8A;MAL;LMX1B;ROR2;RTN4R;SHC2;CNP;CHRNA4;CHRNA7;NPR2;SLC1A1;CHRD;SLC1A2;BHLHE22;EFNA5;HOXB13;BHLHE23;LTBP1;EFNB2;GRK1;EFNB1;NEUROD2;SCUBE1;EFNB3;DVL2;PLXNA1;OTX2;OTX1;WNT1;NPTX2;DRD2;FGF22;WNT4;PRPH;WNT3A;BDNF;ATP8B1;EVX1;FOXN4;TRPV1;BMP7;NFKB1;KY;IGF2R;PHOX2A;PTPRD;FGF17;BMP2;DAB1;MAFB;NR4A3;CXCL12;GDNF;TLX3;LHX3;DLG3;NBEA;LHX2;TLX2;FES;DLG5;FEV;TLX1;CNTN1;GNAS;LHX6;CNTN2;LHX5;CSPG4;CNTN4;FGFR3;BCL2L2;LHX8;UCN;GAL3ST1;DAGLA;PTEN;SLC2A8;ZIC2;MDK;NEO1;NKX3-2;EMX1;AMN;GRID2;GRID1;SHROOM3;NAV2;ADAMTS20;DNAJC6;ALDH1A2;NUP50;MYO3A;HAND1;SLC25A12;SHANK1;PLEC;NLGN3;LAMA5;ZFP423;DBX1;CRMP1;LRP2;TULP1;DLL1;PTHLH;DLL3;PDE11A;MAPK7;HLX;CNR1;SLIT1;SLITRK5;TBX1;NTRK2;TCF7L2;KCNJ6;TCF7L1;SLC12A5;TPBG;ATP2B2;SOD2;NFASC;USH1G;PMP22;BCOR
MP0003633_abnormal_nervous_system_	226/1361	0.000000000000000001991435102298313831667558799150683381831150691091791675446653897552096168510615825653076171875	0.0000000000000000697002285804409791009467025634607004185476234674016804415686010543140582740306854248046875	0.00000000000000000000000244759582718114530429833870764882204112268749805196194316728465468178954633771127191721461713314056396484375	0.00000000000000000000008566585395134008234436399308002515527722255149425269914585808449236647987845572060905396938323974609375	-1.2401325487856345	46.13581793844528	GFI1;LGALS3;HTR7;DPYSL4;SYNPO;SCN1B;UNC13B;UNC5A;CACNA2D1;CACNA2D2;EBF2;UNC5C;ANK1;HSPG2;MAPK8IP1;CLDN5;BCAN;ARC;RNF128;PRKAR1B;KCNQ4;ASTN1;GRID2IP;UGT8A;FOXG1;ARX;HPN;KCNN2;APOE;NTSR1;CADM3;EGR3;ST8SIA2;GRIN2C;GRIN2B;NR2F6;SLC6A5;CPEB1;GRIN3A;GJB6;PPT2;VSX2;GABRB3;BARHL1;HRK;HMX3;KCNC1;DOC2A;SH3KBP1;GRIK5;PTPRO;GRIK3;LPCAT1;GRIK4;DOC2B;SLC7A10;SLC6A1;SLC6A2;JPH3;AIFM1;DNER;NEFM;KIF1B;FFAR1;SLC18A3;SPHK1;NOG;PAX6;TACR1;AVPR1A;F3;GFRA2;BACE1;COL2A1;KCNMA1;HAP1;DSCAML1;HMX2;CHST3;OPRD1;FOXC2;RAMP2;GUCY2E;KCNA2;SEZ6;ADCY1;GLRA1;PROKR2;RELN;LMNA;SLC17A6;PAK3;GABBR2;GABRA1;GSN;GSX1;CDKN2A;GABRA5;GAD1;GABRA4;POU4F2;POU4F3;F2RL1;NEUROG2;CHRM3;CHRM4;CTNND2;CELSR3;CDH8;FGF8;SBF2;CADPS2;KCNH3;NKX6-2;MSX2;TRP73;ATP1B2;POU3F1;POU3F2;OLFM1;CACNB4;COL4A2;SCN8A;MAL;AMPH;LMX1B;RTN4R;CHRNA3;MAGEL2;CNP;CHRNA4;CHRNA7;SLC1A1;SLC1A2;CHRD;BHLHE22;EFNA5;CPLX1;NALCN;CACNA1E;CACNA1H;EFNB2;GRK1;RAI1;NEUROD2;EFNB3;HRH3;MBP;OTX1;DRD2;FGF22;GRIA3;DRD5;KL;BDNF;ATP8B1;TRPV1;KY;NFKB1;PTPRD;PYY;MAFB;DAB1;NR4A3;TLX3;NBEA;DLG3;GDNF;FEV;CNTN2;LHX6;LHX5;FGF12;GAL3ST1;DAGLA;KCNK9;PTEN;ADRA1D;ADRA1B;AFF2;CALB2;GRM7;NETO1;ZIC2;MDK;SCN5A;EMX1;GRID2;TRPC5;GRID1;MMP2;ADRA2A;ADORA2A;VGF;DNAJC6;MYO3A;SLC25A12;DAGLB;SHANK1;PLEC;CAMK2B;NLGN3;SLC24A2;NLGN2;DBX1;CRMP1;TULP1;CKMT1;MAPK7;CNR1;SLITRK5;S1PR5;S1PR4;TBX1;NTRK2;KCNJ6;SLC12A5;KCNJ11;ATP2B2;SOD2;HCRTR1;NFASC;USH1G;NOVA2;PMP22;KCNK2
MP0005508_abnormal_skeleton_morphology_	192/1244	0.00000000000128858318840183322922920247481309657076875563319617867819033563137054443359375	0.0000000000100223136875698140051160192485463066615347660359702786081470549106597900390625	0.00000000000000002971398362482845479166148947052227920708081940139207166584611741200205869972705841064453125	0.000000000000000259997356717248987130757810416013355285868940101889901228560120216570794582366943359375	-1.5548577308661502	39.37864896512106	IHH;SCX;SLC4A2;HOXA13;FGF3;COMP;LGALS3;RPS6KA3;NDST1;EDNRA;FGF8;EFEMP1;BMPER;SOX9;PITX2;SOX6;PITX1;HOXA6;HOXA5;HOXA4;OSR2;MSX2;WNT5A;CTNNBIP1;TRP73;EBF2;CACNA2D2;SOX11;CARTPT;HSPG2;ANK1;DKK1;HIC1;POU3F3;BTC;TOM1L2;SFRP1;SFRP2;HOXB9;LMX1A;SCN8A;HOXB3;ROR2;LMX1B;HOXB7;NBL1;FBN2;PKDCC;CNP;NPR2;FOXG1;TWIST2;CHRD;TWIST1;HOXB13;LTBP1;EFNB1;RAI1;CNN1;CALCR;SCUBE1;PRDM16;ALX3;DVL2;PLXNA1;ALX4;OTX2;OTX1;APOE;WNT1;DRD2;TRPM6;JAG2;FZD1;WWTR1;KL;PHC2;EGR3;WNT3A;MTHFR;MT1;GDF6;BMP7;NFKB1;BMP6;IGF2R;PTPRD;FOSL1;PYY;BMP3;CYP26A1;BMP2;DAB1;MAFB;ETL4;SNAI1;GNAS;ID4;FAT4;FGFR3;HOXD9;SIM2;DDR1;MESP1;RARG;PTEN;LAMC2;HOXC13;PTH1R;PCSK5;GLI3;GLI2;MED12;ADAMTS5;ZIC2;PSTPIP2;RSPO2;ACP5;PRKG2;KIF1B;NKX3-2;NKX3-1;SLC18A3;FOXD3;EMX1;NOG;ITPK1;PAX3;SHROOM3;PAX6;IL17RB;PAX1;RGMA;GREM1;ZAP70;HCK;ANO1;ALDH1A3;MMP14;COL2A1;SLC7A7;RIPPLY2;NOV;PAX7;ALDH1A2;RARA;GAS1;IRF6;MDFI;MATN3;HMX1;PTGER4;FOXC2;LAMA5;CEBPB;CEBPE;HOXD12;LRP2;HOXD11;HOXD10;DLL1;PTHLH;HDAC6;DLL3;ARNTL;RXRA;GBX2;CBS;GSC;PLAGL1;LMNA;GPC3;HAS2;FLNB;RICTOR;PTPN1;GSN;GSX1;CDX1;CDKN2A;GAD1;UNCX;SULF1;TBX5;VAX1;TBX4;GRHL2;TBX3;SKI;NELL1;KRT19;CLCN5
MP0000462_abnormal_digestive_system_	126/690	0.0000000000001415168665961844014707712392623722863645684133526714276740676723420619964599609375	0.000000000001651030110288817933013834567819750763668917858950635491055436432361602783203125	0.0000000000000006143710300751922237160822026928537634846085209450183839408055064268410205841064453125	0.0000000000000043005972105263455660125754188499763443922596466151286875856385449878871440887451171875	-1.4125784768432281	38.32271971745952	GUCY1B3;IHH;SLC4A2;HOXA13;CELSR3;FADS2;NDST1;EDNRA;EFEMP1;FGF8;SOX17;SOX9;EPHB2;PITX2;PITX1;HOXA5;MNX1;OSR2;LHCGR;MSX2;CTNNBIP1;WNT5A;TRP73;SOX11;HSPG2;HIC1;OVOL2;ROR2;PKDCC;CNP;NPR2;FOXG1;CHRD;GATA5;TWIST1;GATA4;AEBP1;EFNA5;EFNB2;EFNB1;PRDM16;NKX2-1;ALX3;OTX2;MSC;NKX2-3;FZD1;JAG2;BDNF;WNT3A;BMP7;NFKB1;ATP4B;CYP26A1;GDNF;TLX2;ETL4;SNAI1;SLC26A9;PPT2;SIM2;FGFR3;LHX8;GABRB3;FOXE1;ONECUT1;PTEN;PIK3CD;LAMC2;PTH1R;HOXC13;PKD2;PCSK5;GLI3;GLI2;RSPO2;FFAR2;NKX3-2;RAB8A;NKX3-1;FOXD3;NOG;RIPK4;WNT9B;SHROOM3;PAX3;PAX6;FOXL1;GFRA2;MN1;MMP14;COL2A1;PAX7;RARA;IRF6;FOXC2;LAMA5;HOXD12;BARX1;ASCL2;PTHLH;MAPK7;RXRA;GBX2;HLX;GSC;LMNA;GPC3;SLIT3;JAM3;RUNX1T1;TBX1;TCF7L2;TCF7L1;CDKN2A;GAD1;SULF1;VAX1;BICC1;TBX3;LEP;LTBR;INSM1;PTF1A;MIXL1;NEUROG3
MP0002163_abnormal_gland_morphology_	182/1129	0.000000000000101969297753081633221942273290257593935785075667244115038556628860533237457275390625	0.0000000000016108346565393843464657129026432785443533057812004471998079679906368255615234375	0.00000000000000000513613303816259770318824953997926116597399052264160020098149317391289514489471912384033203125	0.00000000000000005136133038162597549113853989000392921495755115847414717933361316681839525699615478515625	-1.3439425531984788	36.49377714113588	KLB;GUCY1B3;IHH;SLC4A2;HOXA13;RIMS2;SOX3;FADS2;NDST1;EDNRA;FGF8;CDH3;DACH1;EFEMP1;SOX17;MAEL;GRB10;SOX9;PAPOLB;EPHB2;PITX2;PITX1;MNX1;HOXA5;LHCGR;MSX2;IGFBP3;TRP73;CACNA2D2;EBF2;SOX11;HNF1B;OVOL1;POU3F2;MAPK8IP1;ADAM19;TOM1L2;SFRP1;CACNB4;SFRP2;RFX4;HOXB3;AMPH;ROR2;ATF3;MAGEL2;DLX3;DDX4;CNP;FOXG1;NPR2;ARX;LHB;CHRD;AGAP2;GATA4;AEBP1;HOXB13;CACNA1E;CRHR1;EFNB1;STRA8;MIR212;PRDM16;NKX2-1;OTX2;OTX1;APOE;DRD2;NKX2-3;WNT4;EGR4;CADM1;INHBB;MT1;NR2F2;HSPA2;MAFA;BMP7;GDF7;DAZL;CPEB1;MAFB;LHX3;NBEA;GDNF;CYCT;GNAS;PPT2;EIF4G3;LHX9;BCL2L2;RAD18;VSX2;DDR1;PCSK2;SPAG16;HMX3;RARG;GAL3ST1;ONECUT2;SYCP2;FOXE1;MEI1;ONECUT1;PTEN;PIK3CD;YBX2;PKD2;ADRA1B;GLI3;GLI2;BOLL;RSPO2;SCD1;RSPO1;NEO1;NKX3-2;NKX3-1;CHST8;EMX1;FOXD1;NOG;GPBAR1;PAX3;PAX6;FOXL2;FOXL1;AVPR1A;SSTR5;ALDH1A3;MMP14;NRG3;VGF;PAX7;RTN4RL1;ALDH1A2;DMRTA1;RARA;HMX2;CEBPB;LRP2;DLL1;BARX2;ASCL2;PTHLH;FSTL3;ARNTL;NEURL1A;PROKR2;RXRA;MIR375;HLX;CBS;LMNA;ASZ1;RICTOR;JAM3;TBX1;TCF7L2;NTRK2;PTPN1;CDKN2B;KCNJ6;GSN;GSX1;DMRT1;CDKN2A;CADPS;DKKL1;NR1H3;BMP8B;BICC1;TBX3;KRT19;WT1;INSM1;SYCP3;SLC25A31;PTF1A;PLCD1;NEUROG3
MP0002133_abnormal_respiratory_system_	116/622	0.0000000000003180312333591523988969691625696055450552880705661351612434373237192630767822265625	0.000000000003180312333591524291892279230564588728656649774251263806945644319057464599609375	0.00000000000000286520047880792428888023244230450223053271899091576369045242245192639529705047607421875	0.00000000000001823309395605042894231064464041697096427703007892606734685614355839788913726806640625	-1.3153118373884025	34.821620439217455	CHRM3;IHH;AQP5;CELSR3;FOXQ1;NDST1;LGALS3;EFEMP2;EDNRA;DACH1;BMPER;TEKT2;SOX9;SOX6;HOXA5;IL13RA1;WNT5A;TRP73;CACNA2D2;SOX11;POU3F1;HSPG2;TOM1L2;LOX;RNF128;SCN8A;ROR2;ATF3;CUL7;PKDCC;CNP;NPR1;FOXG1;LTBP4;DTX1;GATA4;NALCN;CRHR1;FUT8;PRDM16;NKX2-1;APOE;DRD2;JAG2;WWTR1;BDNF;MT1;NFKB1;IGF2R;KY;PHOX2A;MAFB;TLX3;GNAS;FGFR3;SIM2;LAT;LPCAT1;HNF4G;ADM;LAMC2;GLI3;RSPO2;FFAR2;KIF1B;NKX3-2;FOXD3;FOXD1;PAX3;PAX6;TACR1;SSTR4;GREM1;HCK;ZAP70;ANO1;ALDH1A3;RIPPLY2;COL2A1;MDFI;ITGA9;PTGER4;CEBPA;FOXC2;CEBPE;KCNA2;DBX1;LRP2;PTHLH;GLRA1;EFS;GSC;PLAGL1;NTF3;PDPN;LMNA;HAS3;GPC3;SLC17A6;SLIT3;JAM3;TBX1;NTRK2;SLC12A5;GSN;GAD1;WNT7B;ECEL1;CADPS;UNCX;SULF1;NELL1;NFIB;LEP;INSM1;PTF1A
MP0002102_abnormal_ear_morphology_	78/369	0.00000000000496675949480436734627249122666392306020555214018941114773042500019073486328125	0.0000000000347673164636305730394945724792796389046589666804720764048397541046142578125	0.000000000000727568909373474153892312991569167815865230852789835580551880411803722381591796875	0.0000000000039176787427802452420871397564857275923333457257058398681692779064178466796875	-1.4216674066737611	34.23708262062627	DDR1;GABRB3;BARHL1;MESP1;HMX3;UCN;GFI1;LAMC2;FGF3;GLI3;GLI2;EDNRA;FGF8;BMPER;PSTPIP2;SOX9;EPHB2;PITX1;HOXA5;NKX3-2;OSR2;GRID1;WNT5A;NOG;PAX3;PAX6;HSPG2;HIC1;POU3F3;OVOL2;LMX1A;ALDH1A2;KCNMA1;MYO3A;RARA;GAS1;KCNQ4;IRF6;ROR2;HMX2;HMX1;FOXC2;FOXG1;HPN;CHRD;LRP2;DLL1;EFNB2;EFNB1;RXRA;GBX2;LMNA;DVL2;OTX2;OTX1;APOE;WNT1;TBX1;FZD1;JAG2;NTRK2;BDNF;GABRA5;ATP8B1;ESRRB;HPS6;ATP2B2;GDF6;BMP7;NFKB1;POU4F3;MAFB;NR4A3;USH1G;GJB6;GNAS;FAT4;FGFR3
MP0000428_abnormal_craniofacial_morphol_	143/896	0.00000000011232032722282855748265332595557468818581181579929761937819421291351318359375	0.00000000067854314543270382954751377378721510780223979963921010494232177734375	0.000000000000090578039444219563552370813826257296970758704779402847862002090550959110260009765625	0.000000000000528371896757947464573641816933324971152473314983666341504431329667568206787109375	-1.410209883523182	29.77104386581642	IHH;SLC4A2;FOXQ1;SOX3;NDST1;RPS6KA3;EDNRA;RPS6KA6;FGF8;BMPER;SOX9;PITX2;PITX1;HOXA5;OSR2;MSX2;CTNNBIP1;WNT5A;TRP73;EBF2;SOX11;HSPG2;DKK1;HIC1;POU3F3;OVOL2;TOM1L2;SFRP1;LMX1A;HOXB3;ROR2;LMX1B;PKDCC;HOXD1;NPR2;FOXG1;CHRD;TWIST1;EFNA5;LTBP1;EFNB2;EFNB1;RAI1;SCUBE1;PRDM16;ALX3;DVL2;ALX4;OTX2;OTX1;MSC;WNT1;TRPM6;NKX2-3;JAG2;FZD1;BCL11B;BDNF;HPS6;GDF6;BMP7;IGF2R;NFKB1;CYP26A1;FGF16;BMP2;MAFB;LHX2;FES;DLG5;GNAS;SNAI1;FGFR3;SIM2;LHX8;DDR1;GABRB3;MESP1;RARG;FOXE1;PTEN;LAMC2;PTH1R;HOXC13;PCSK5;GLI3;GLI2;MED12;ZIC2;PSTPIP2;RSPO2;PRKG2;NKX3-2;FOXD3;EMX1;NOG;RIPK4;WNT9B;PAX3;SHROOM3;PAX6;PAX1;RGMA;ALDH1A3;MMP14;COL2A1;NOV;PAX7;ALDH1A2;HAND1;RARA;GAS1;IRF6;HMX1;FOXC2;LAMA5;ZFP423;LRP2;PTHLH;DLL3;MAPK7;RXRA;GBX2;CBS;GSC;LMNA;LRIG1;GPC3;FLNB;TCF7L2;GSX1;CDX1;GAD1;SULF1;VAX1;GRHL2;TBX3;TBX2;SKI;NELL1;CLCN5;DLC1;BCOR
MP0002169_no_abnormal_phenotype_	211/1371	0.0000000000001150596183242417462457077693523421169324687240997917569984565488994121551513671875	0.0000000000016108346565393843464657129026432785443533057812004471998079679906368255615234375	0.00000000000000000056322508559346861657099024192096497410931838126411865148857049945263497647829353809356689453125	0.0000000000000000078851511983085608245868578256170949431282515961903929746501518138757091946899890899658203125	-0.9618316808232071	26.117835858168874	OXTR;CBLC;SCX;SLC4A2;FZD10;HS6ST2;EDNRA;PEG12;SOX17;GSC2;SOX9;SOX6;EPHB2;HOXA5;SCN1B;MNX1;EBF2;MIF;SCAMP1;BTC;SFRP2;NBL1;FOXG1;ARX;TWIST2;CRHR1;ALX3;ALX4;KCNN2;NTSR1;FZD1;B3GALNT1;ICMT;SRMS;CADM1;PARVB;GRIN2C;FOSL1;CYP26A1;GRIN3A;ETL4;SNAI1;GABRB3;RAB9;HMX3;RARG;KCNC3;GRIK4;SLC6A1;GLI2;MED12;TEAD2;TPI1;SPHK1;PAX3;PAX6;PAX1;BACE1;MMP14;PAX7;RARA;PTGER4;AHNAK;ODC1;ADCY4;SEZ6;ASCL2;FSTL4;NEURL1A;GBX2;FRZB;NTF3;LMNA;MGAT3;SLC17A6;HAS2;RUNX1T1;NPDC1;GDF10;GABRA1;BIK;GDF15;CDX1;USP9X;GABRA4;GAD1;GSR;NR1H3;SULF1;POU4F2;KRT19;WT1;KCNS2;DLC1;TACC2;APBA3;APBA2;NEUROG3;SEMA5A;GALNT13;ARHGDIG;IRS3;DACH2;SAT1;FGF3;FGF4;RPH3A;COMP;RIMS2;EFEMP2;FGF8;EFEMP1;SALL2;PITX2;PCDHAC2;LMO1;OSR2;NKX6-2;MSX2;IGFBP2;SHISA4;ATP11C;ZBTB33;POU3F1;PYGO1;LMX1B;SLC27A2;CUL9;BRSK2;PKDCC;NXPH3;DTX1;GPR83;FOXO4;CACNA1E;NID2;GLIS1;EFNB2;PDZD4;BCL2L10;EFNB3;CALCR;FUT9;DVL2;OTX2;MSC;DRD5;WNT4;BDNF;HTR1D;BMP7;NFKB1;IGF2R;PYY;BMP2;DAB1;FES;BAMBI;GNAS;LHX6;FGFR3;FLT1;KCNK9;SH2D4A;PTEN;HSPB1;PKD2;CALB2;ADAMTS5;LRRTM1;SIX2;BDKRB1;SCN5A;PGM1;EMX1;KLF11;MMP2;PCDHGA1;RTN4RL2;ADRA2A;EPN2;ALDH1A3;ZAP70;CYP26C1;ALDH1A2;HAND1;EVL;PLEC;ITGA9;NLGN3;HCN4;CEBPA;ZFP423;CEBPB;PCOLCE2;THBS4;HDAC6;MAPK7;SPOCK1;SNCB;HES3;CACNG4;TBX1;NTRK2;IRX2;PCDH8;TBX5;TBX4;MAPK12;TBX3;CLCN5
MP0002873_normal_phenotype_	211/1371	0.0000000000001150596183242417462457077693523421169324687240997917569984565488994121551513671875	0.0000000000016108346565393843464657129026432785443533057812004471998079679906368255615234375	0.00000000000000000056322508559346861657099024192096497410931838126411865148857049945263497647829353809356689453125	0.0000000000000000078851511983085608245868578256170949431282515961903929746501518138757091946899890899658203125	-0.8939277726494413	24.27395489316189	OXTR;CBLC;SCX;SLC4A2;FZD10;HS6ST2;EDNRA;PEG12;SOX17;GSC2;SOX9;SOX6;EPHB2;HOXA5;SCN1B;MNX1;EBF2;MIF;SCAMP1;BTC;SFRP2;NBL1;FOXG1;ARX;TWIST2;CRHR1;ALX3;ALX4;KCNN2;NTSR1;FZD1;B3GALNT1;ICMT;SRMS;CADM1;PARVB;GRIN2C;FOSL1;CYP26A1;GRIN3A;ETL4;SNAI1;GABRB3;RAB9;HMX3;RARG;KCNC3;GRIK4;SLC6A1;GLI2;MED12;TEAD2;TPI1;SPHK1;PAX3;PAX6;PAX1;BACE1;MMP14;PAX7;RARA;PTGER4;AHNAK;ODC1;ADCY4;SEZ6;ASCL2;FSTL4;NEURL1A;GBX2;FRZB;NTF3;LMNA;MGAT3;SLC17A6;HAS2;RUNX1T1;NPDC1;GDF10;GABRA1;BIK;GDF15;CDX1;USP9X;GABRA4;GAD1;GSR;NR1H3;SULF1;POU4F2;KRT19;WT1;KCNS2;DLC1;TACC2;APBA3;APBA2;NEUROG3;SEMA5A;GALNT13;ARHGDIG;IRS3;DACH2;SAT1;FGF3;FGF4;RPH3A;COMP;RIMS2;EFEMP2;FGF8;EFEMP1;SALL2;PITX2;PCDHAC2;LMO1;OSR2;NKX6-2;MSX2;IGFBP2;SHISA4;ATP11C;ZBTB33;POU3F1;PYGO1;LMX1B;SLC27A2;CUL9;BRSK2;PKDCC;NXPH3;DTX1;GPR83;FOXO4;CACNA1E;NID2;GLIS1;EFNB2;PDZD4;BCL2L10;EFNB3;CALCR;FUT9;DVL2;OTX2;MSC;DRD5;WNT4;BDNF;HTR1D;BMP7;NFKB1;IGF2R;PYY;BMP2;DAB1;FES;BAMBI;GNAS;LHX6;FGFR3;FLT1;KCNK9;SH2D4A;PTEN;HSPB1;PKD2;CALB2;ADAMTS5;LRRTM1;SIX2;BDKRB1;SCN5A;PGM1;EMX1;KLF11;MMP2;PCDHGA1;RTN4RL2;ADRA2A;EPN2;ALDH1A3;ZAP70;CYP26C1;ALDH1A2;HAND1;EVL;PLEC;ITGA9;NLGN3;HCN4;CEBPA;ZFP423;CEBPB;PCOLCE2;THBS4;HDAC6;MAPK7;SPOCK1;SNCB;HES3;CACNG4;TBX1;NTRK2;IRX2;PCDH8;TBX5;TBX4;MAPK12;TBX3;CLCN5
